CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Biometría II-Modelos Lineales Generales y Mixtos ,,,Lunes,9:30,12:00,0,1302,EGE,Pérez,2º cuatrimestre de 2025
Física Teórica 1 ,,,Lunes,17:00,22:00,0,1302,DF,Minini/Rubin,2º cuatrimestre de 2025
Química Biológica (Javier Santos),22/9/2025,,Lunes,16:00,17:00,0,1303,,,
Seguridad de la Información   ,,,Lunes,18:00,21:00,0,1303,DC,Baader,
Tesis de Licenciatura ,,,Lunes,10:00,13:00,0,1304,IC,Farall,2º cuatrimestre de 2025
Química General e Inorgánica - Lucy Coria,06/10/2025,,Lunes,14:00,16:00,0,1304,,,
Informática Educativa ,,,Lunes,16:00,18:00,0,1304,CCPEMS,Chacín,2º cuatrimestre de 2025
Neurobiología del Aprendizaje y la Memoria-Mecanismos de Memoria ,,,Lunes,18:00,22:00,0,1304,FBMC,Romano,2º cuatrimestre de 2025
Taller de Técnicas de Estudio,,,Lunes,14:30,17:00,0,1305,SEGB,Picco,2º cuatrimestre de 2025
Escritura creativa para gente de ciencia ,,,Lunes,10:30,12:00,0,1306,SA,Curatolo,2º cuatrimestre de 2025
Neurobiología del Aprendizaje y la Memoria-Mecanismos de Memoria ,,,Lunes,14:00,17:00,0,1306,FBMC,Romano,2º cuatrimestre de 2025
Procesamiento Digital de Geometría,,,Lunes,17:00,19:00,0,1306,DC,Taubin,3º bimestre de 2025
Data Mining en Economía y Finanzas (DATA),,,Lunes,19:00,22:00,0,1306,DATA,,2º cuatrimestre de 2025
IBMC,29/9/2025,,Lunes,9:30,13:00,0,1307,,,
Análisis Matemático de Sistemas Sociales Complejos,,,Lunes,14:00,16:00,0,1307,DM,Saintier,2º cuatrimestre de 2025
"Economía, Conceptos y Métodos",,octubre,Lunes,17:00,21:00,0,1307,,,4º bimestre
